ano,municipio,homicidio,gastos_educacao,renda_setor_formal,gastos_seguranca_publica
2014,590,0.0,881.87,1349.73,8.34
2014,591,12.14,612.42,1304.0,2.48
2014,592,67.87,410.56,1063.9,3.8
2014,593,0.0,671.97,1053.27,1.55
2014,594,0.0,552.39,1153.5,7.06
2014,597,0.0,633.38,1351.5,5.72
2014,598,0.0,379.98,1158.07,4.0
2014,599,0.0,595.36,1402.5,4.16
2014,600,28.11,404.03,1454.89,0.71
2014,601,0.0,478.52,1104.48,2.65
2014,602,19.75,363.0,1255.95,2.75
2014,603,9.41,496.71,1257.03,5.28
2014,604,19.26,650.01,1553.87,11.89
2014,607,33.39,274.57,1380.63,1.41
2014,608,10.31,418.74,1421.02,5.65
2014,611,26.44,819.65,1129.39,4.6
2014,613,0.0,266.28,1098.47,1.76
2014,614,31.91,395.11,1219.44,3.8
2014,616,16.1,500.38,1296.06,1.97
2014,617,0.0,463.2,1004.32,7.89
2014,618,31.01,450.07,1447.47,3.91
2014,620,0.0,896.9,1378.75,6.83
2014,621,0.0,549.12,1222.7,0.03
2014,622,0.0,761.53,1137.79,4.34
2014,623,33.8,786.11,1192.66,4.36
2014,624,16.15,609.52,1472.36,5.28
2014,625,10.45,491.85,1458.91,1.06
2014,627,0.0,768.2,1448.06,6.11
2014,628,6.52,424.43,1394.23,7.74
2014,629,25.19,271.85,1307.13,6.56
2014,630,19.42,328.02,1044.23,1.24
2014,631,15.22,569.66,1315.51,2.3
2014,632,0.0,446.07,1159.82,3.49
2014,633,40.96,563.58,1337.03,6.23
2014,634,0.0,700.77,1242.46,6.8
2014,635,24.98,816.68,1381.43,7.45
2014,637,48.26,207.28,1451.49,0.13
2014,638,26.14,614.52,1255.27,0.08
2014,639,22.0,1108.47,1756.07,42.61
2014,640,28.17,622.04,1090.88,9.9
2014,641,0.0,468.05,1061.57,4.76
2014,642,0.0,709.32,1348.73,8.61
2014,644,0.0,452.52,1235.34,6.84
2014,647,17.18,512.71,1099.89,21.3
2014,650,0.0,619.75,967.4,2.56
2014,651,7.33,379.68,1076.67,4.56
2014,653,0.0,987.29,1104.12,10.16
2014,654,14.56,390.22,1393.96,4.13
2014,655,0.0,903.48,1262.77,6.05
2014,657,0.0,402.42,1098.9,0.01
2014,658,10.08,541.52,1542.06,1.82
2014,659,36.43,418.73,1809.5,0.21
2014,661,8.37,810.44,1450.88,9.2
2014,662,5.1,297.93,1158.25,6.75
2014,663,14.58,461.86,1756.92,8.09
2014,664,28.7,643.91,1752.05,2.1
2014,665,26.03,591.48,1094.0,2.86
2014,666,0.0,1032.39,1089.36,4.31
2014,668,50.86,193.01,1156.62,2.09
2014,671,21.74,458.05,927.8,1.24
2014,672,50.4,780.01,917.82,2.78
2014,673,16.52,359.42,1122.53,3.3
2014,674,17.64,554.45,2019.35,8.15
2014,675,48.29,346.07,1798.81,20.34
2014,676,26.65,467.41,1176.56,3.29
2014,677,28.43,484.96,1117.24,6.04
2014,678,0.0,521.68,1240.04,1.36
2014,679,34.73,371.36,1003.89,2.98
2014,682,40.06,372.8,1015.11,3.86
2014,684,52.66,583.55,1181.94,5.31
2014,685,10.59,410.32,1815.9,39.86
2014,686,0.0,694.19,1324.61,16.91
2014,688,0.0,576.13,1103.72,3.77
2014,690,12.49,469.81,1143.97,4.36
2014,692,0.0,1090.16,1266.06,11.58
2014,693,21.71,642.87,1199.44,5.79
2014,694,11.65,446.41,1087.23,1.4
2014,695,25.67,305.36,1471.88,9.84
2014,696,24.86,786.04,1193.72,16.43
2014,697,26.16,709.84,1150.6,2.92
2014,698,17.3,391.89,1251.43,10.88
2014,700,0.0,897.03,1491.57,6.37
2014,701,0.0,550.03,1015.68,5.66
2014,702,16.99,480.41,1048.66,3.06
2014,703,15.4,388.22,1199.21,11.0
2014,705,0.0,895.54,1287.81,11.99
2014,707,4.32,346.01,1353.74,1.71
2014,710,36.98,703.48,1185.78,2.43
2014,711,23.05,345.26,1223.54,3.89
2014,712,0.0,627.34,964.71,4.02
2014,713,16.72,483.68,1273.75,1.21
2014,714,0.0,603.81,1270.7,2.45
2014,715,0.0,804.77,1355.66,15.49
2014,716,38.62,574.46,1192.82,6.28
2014,718,68.35,547.11,1297.48,0.5
2014,719,0.0,522.64,1116.65,67.74
2014,720,31.93,914.4,1315.06,10.75
2014,721,28.85,443.02,1214.67,11.76
2014,722,10.23,4428.71,1997.74,13.22
2014,723,32.72,870.33,1017.56,5.08
2014,724,25.1,405.5,1251.84,1.04
2014,725,18.86,392.72,1607.15,7.08
2014,726,29.04,587.6,1226.94,15.39
2014,727,0.0,732.27,1017.57,11.84
2014,728,0.0,919.08,1252.89,7.48
2014,730,17.07,394.22,1359.99,2.03
2014,731,13.02,278.88,1882.04,1.99
2014,732,19.52,544.85,1130.85,2.77
2014,733,19.28,503.98,1052.6,3.51
2014,734,12.7,442.65,1145.13,3.0
2014,736,4.48,377.66,940.6,6.2
2014,737,12.86,499.02,1137.44,2.93
2014,738,7.98,411.7,1156.11,1.85
2014,739,93.98,606.97,1775.69,3.56
2014,740,14.75,526.6,3222.12,3.98
2014,742,49.08,665.02,1168.73,4.71
2014,743,0.0,642.9,1145.51,2.93
2014,744,0.0,442.31,1393.5,8.14
2014,745,0.0,663.2,1489.12,6.24
2014,748,0.0,614.57,1078.03,14.88
2014,752,17.95,499.08,1224.0,5.29
2014,753,11.97,393.91,1163.27,8.16
2014,754,19.46,438.97,1362.77,1.93
2014,755,0.0,742.24,1408.71,2.34
2014,757,0.0,1288.29,1227.34,8.99
2014,758,0.0,710.84,1108.21,1.84
2014,759,37.57,452.14,1005.53,1.69
2014,761,6.16,348.25,1394.65,74.3
2014,762,0.0,778.05,1245.49,15.65
2014,764,0.0,267.04,1146.36,2.65
2014,765,0.0,590.28,1229.16,2.05
2014,766,14.1,435.56,1236.3,21.11
2014,768,0.0,698.09,1327.53,0.42
2014,769,17.88,570.08,1000.71,20.73
2014,770,7.75,726.15,2076.56,9.82
2014,771,0.0,844.87,1304.34,5.93
2014,772,0.0,663.58,1051.45,3.89
2014,774,13.83,502.74,1103.96,1.07
2014,775,53.53,980.34,1317.04,49.43
2014,776,0.0,704.41,1067.18,2.14
2014,778,0.0,868.47,1016.84,6.65
2014,779,0.0,341.66,989.7,2.66
2014,780,14.03,487.36,954.52,2.88
2014,781,0.0,894.32,1238.0,7.19
2014,782,23.7,604.12,1094.08,4.05
2014,783,0.0,2253.8,1123.24,0.38
2014,784,9.48,689.67,1487.46,8.91
2014,785,23.78,412.96,1522.55,4.33
2014,786,13.26,501.19,1149.65,27.35
2014,789,14.4,356.5,1291.81,1.18
2014,790,28.02,367.15,1666.61,5.16
2014,791,9.19,456.36,1041.72,1.71
2014,792,0.0,989.4,1382.67,5.55
2014,793,0.0,704.63,1282.63,6.92
2014,794,0.0,1234.77,1332.65,2.39
2014,795,5.47,396.35,1227.76,2.36
2014,797,0.0,581.71,1199.77,5.02
