"","ano","municipio","populacao","homicidio","gastos_educacao","renda_setor_formal","gastos_seguranca_publica"
"247",2017,"Ibiaí",8316,12.02,574.2,1335.57,3.12
"248",2017,"Barão de Cocais",31649,12.64,541.87,2201.04,6.38
"249",2017,"Mutum",27253,18.35,331.36,1501.67,4.5
"250",2017,"Arapuá",2854,35.04,764.38,1657.8,14.72
"251",2017,"Juiz de Fora",558137,20.25,503.75,2310.99,1.58
"252",2017,"Governador Valadares",278093,30.57,459.45,1938.83,0.13
"253",2017,"Araújos",8906,33.68,603.27,1499.46,7.63
"254",2017,"Itambacuri",23401,12.82,452.06,1466.42,3.26
"255",2017,"São Gonçalo do Pará",11865,16.86,590.59,1665.7,12.85
"256",2017,"São Gonçalo do Abaeté",6829,14.64,988.14,1675.46,10.94
"257",2017,"Borda da Mata",18865,5.3,635.63,1653.92,2.5
"258",2017,"São Geraldo",11786,8.48,310.77,1503.08,6.2
"259",2017,"Cristais",12439,8.04,589.06,1221.29,10.27
"260",2017,"Coração de Jesus",26782,7.47,365.48,1330.58,1.18
"261",2017,"Santo Antônio do Amparo",18368,16.33,472.84,1548.2,8.89
"262",2017,"Matias Cardoso",10889,9.18,711.45,1247.59,57.72
"263",2017,"Cuparaque",4945,60.67,749.7,1338.78,2.9
"264",2017,"Caratinga",90924,16.5,370.03,1644.71,13.13
"265",2017,"Caeté",43934,40.97,470.02,1842.46,6.77
"266",2017,"Mesquita",5852,17.09,596.9,1373.24,7.18
"267",2017,"Iguatama",8090,12.36,547.74,1901.46,4.92
"268",2017,"União de Minas",4408,22.69,877.64,1953.52,11.13
"269",2017,"Rubelita",6721,29.76,442.3,1530.14,4.73
"270",2017,"São Domingos do Prata",17609,22.72,429.48,1569.39,4.58
"271",2017,"Carlos Chagas",19553,10.23,579.68,1558.88,2.01
"272",2017,"Rio Acima",10022,19.96,844.93,2304.46,16.78
"273",2017,"Fervedouro",10929,45.75,448.25,1514.83,7.05
"274",2017,"Grão Mogol",15772,19.02,743.04,1459.11,0.45
"275",2017,"Tarumirim",14521,13.77,340.46,1270.71,6.47
"276",2017,"Delfim Moreira",8123,12.31,546.74,1431.98,5.71
"277",2017,"Simonésia",19437,20.58,399.61,1250.34,2.14
"278",2017,"Caraí",23544,33.98,505.53,1460.71,0.87
"279",2017,"Abaeté",23375,17.11,425.89,1581.85,1.06
"280",2017,"Oliveira",41488,16.87,410.12,1576.81,0.69
